latitude,longitude,room_type,price
40.81088839,-73.91078221,Shared room,$45.00 
40.70081247,-73.92786058,Shared room,$26.00 
40.68832135,-73.96498865,Shared room,$32.00 
40.64537594,-73.94863227,Shared room,$36.00 
40.79280928,-73.93955305,Shared room,$40.00 
40.6732349,-73.8892015,Shared room,$39.00 
40.61999104,-74.03180741,Shared room,$33.00 
40.59084401,-73.79308232,Shared room,$90.00 
40.76895323,-73.9235998,Shared room,$300.00 
40.68604909,-73.91957096,Shared room,$50.00 
40.70733881,-73.83467285,Shared room,$100.00 
40.73469765,-73.95726788,Shared room,$185.00 
40.81139382,-73.93886044,Shared room,$71.00 
40.81027496,-73.94080338,Shared room,$38.00 
40.80605583,-73.94857594,Shared room,$55.00 
40.86760613,-73.92717948,Shared room,$30.00 
40.75124558,-73.9853347,Shared room,$400.00 
40.75349742,-73.97370344,Shared room,$85.00 
40.61358617,-73.95983125,Shared room,$32.00 
40.84033823,-73.83006898,Shared room,$20.00 
40.60054305,-73.95614384,Shared room,$26.00 
40.7690405,-73.94867843,Shared room,$55.00 
40.77804056,-73.97776439,Shared room,$95.00 
40.80022151,-73.9595565,Shared room,$49.00 
40.78504235,-73.97642472,Shared room,$75.00 
40.76974535,-73.98578741,Shared room,$43.00 
40.84499989,-73.93917917,Shared room,$35.00 
40.70906442,-73.95427266,Shared room,$54.00 
40.68657377,-73.95356349,Shared room,$16.00 
40.69442561,-73.9463597,Shared room,$40.00 
40.69402821,-73.93459029,Shared room,$30.00 
40.6820918,-73.94625719,Shared room,$41.00 
40.57701337,-73.96615955,Shared room,$50.00 
40.69984911,-73.92925024,Shared room,$35.00 
40.74725579,-74.00213249,Shared room,$75.00 
40.64487352,-73.94919019,Shared room,$40.00 
40.79345746,-73.94571257,Shared room,$42.00 
40.79504034,-73.9340492,Shared room,$60.00 
40.78797981,-73.95143375,Shared room,$43.00 
40.72961631,-73.98359933,Shared room,$80.00 
40.62707344,-74.02816712,Shared room,$60.00 
40.81938567,-73.95438449,Shared room,$25.00 
40.76322479,-73.99260878,Shared room,$44.00 
40.73972537,-73.97978886,Shared room,$100.00 
40.74087549,-73.9828481,Shared room,$65.00 
40.76143444,-73.92760516,Shared room,$40.00 
40.75222679,-73.97022892,Shared room,$74.00 
40.70890507,-73.90020545,Shared room,$45.00 
40.76645041,-73.94686935,Shared room,$36.00 
40.77369852,-73.95615543,Shared room,$80.00 
40.79939107,-73.967524,Shared room,$70.00 
40.84741799,-73.9414465,Shared room,$38.00 
40.85349744,-73.93790754,Shared room,$75.00 
40.69838381,-73.91964978,Shared room,$60.00 
40.67816476,-74.00202526,Shared room,$48.00 
40.6948151,-73.96418983,Shared room,$50.00 
40.67767048,-73.96019886,Shared room,$42.00 
40.67526711,-73.9410981,Shared room,$55.00 
40.79193439,-73.94389501,Shared room,$45.00 
40.80758833,-73.94092924,Shared room,$55.00 
40.72496842,-73.98183406,Shared room,$50.00 
40.72421643,-73.98465087,Shared room,$85.00 
40.71401251,-73.78053136,Shared room,$110.00 
40.64619865,-73.96114491,Shared room,$400.00 
40.64167769,-73.95409367,Shared room,$60.00 
40.62039184,-74.04021494,Shared room,$79.00 
40.73476985,-73.98069296,Shared room,$100.00 
40.76297327,-73.91695977,Shared room,$80.00 
40.76679335,-73.91495258,Shared room,$49.00 
40.80219432,-73.94636254,Shared room,$57.00 
40.81022167,-73.94265839,Shared room,$115.00 
40.87240278,-73.91740555,Shared room,$82.00 
40.7423545,-73.97995492,Shared room,$55.00 
40.71979406,-73.99262468,Shared room,$65.00 
40.76298397,-73.98117193,Shared room,$129.00 
40.61056474,-73.97275995,Shared room,$28.00 
40.7236313,-73.99545619,Shared room,$70.00 
40.73370016,-73.85884399,Shared room,$45.00 
40.70375359,-73.90341902,Shared room,$30.00 
40.74324013,-73.91824691,Shared room,$88.00 
40.74449306,-73.9101165,Shared room,$40.00 
